Name,dataTime,XAcc,YAcc,ZAcc,Acc,Shake,XOri,YOri,ZOri,XGyr,YGyr,ZGyr,Timestamp
칼만1,3.728,1.7774432,1.6910392,2.3022692,3.3644258617173532,0,-4.429907,-28.850775,288.60666,0.09285152,0.41905355,0.06352998,2017-02-20 16:03:27
칼만1,3.848,1.5737778,1.5074307,2.0905755,3.019872434421116,0,-5.242104,-33.112576,289.69382,0.02321288,0.4166101,0.059864793,2017-02-20 16:03:27
칼만1,3.968,1.3309765,1.2895478,1.8770205,2.6377334614603782,0,-5.242104,-33.112576,289.69382,0.02321288,0.4166101,0.059864793,2017-02-20 16:03:27
칼만1,4.088,1.0821635,1.0614424,1.6498877,2.240505972990067,0,-5.280284,-37.659943,289.2137,-0.015882496,0.41416663,-0.02321288,2017-02-20 16:03:27
칼만1,4.207,0.8606939,0.8596735,1.447042,1.8904398916856173,0,-5.3010817,-41.734352,289.3075,-0.021991149,0.28344148,0.008552114,2017-02-20 16:03:27
칼만1,4.327,0.65209067,0.6688639,1.2413585,1.553567545568384,0,-5.3010817,-41.734352,289.3075,-0.021991149,0.28344148,0.008552114,2017-02-20 16:03:27
칼만1,4.447,0.43135408,0.47527424,1.0479637,1.2288937847308146,0,-5.101483,-45.40012,289.70685,0.0061086523,0.29932398,0.018325957,2017-02-20 16:03:27
칼만1,4.567,0.23836325,0.29722533,0.857699,0.9385134358121692,0,-5.082985,-48.833126,291.03876,-0.02687807,0.2968805,0.040317107,2017-02-20 16:03:27
칼만1,4.687,0.050937865,0.12876754,0.6726967,0.6868017234455178,0,-5.082985,-48.833126,291.03876,-0.02687807,0.2968805,0.040317107,2017-02-20 16:03:27
칼만1,4.807,-0.12375424,-0.027484944,0.52128655,0.536479448335456,0,-5.0476475,-51.894093,291.3471,-0.018325957,0.16493362,0.0061086523,2017-02-20 16:03:28
칼만1,4.927,-0.27237707,-0.15468188,0.38546348,0.49668686779345617,0,-4.987921,-54.15012,290.2675,-0.02321288,0.23457226,0.009773844,2017-02-20 16:03:28
칼만1,5.047,-0.4160057,-0.2930748,0.252947,0.5682743702184114,0,-4.987921,-54.15012,290.2675,-0.02321288,0.23457226,0.009773844,2017-02-20 16:03:28
칼만1,5.167,-0.5479875,-0.41774023,0.12601955,0.7004842229888973,0,-5.0745893,-55.799442,289.94727,-0.014660766,0.204029,0.018325957,2017-02-20 16:03:28
칼만1,5.287,-0.67718965,-0.53191894,-0.003945268,0.8611266727669952,0,-5.3385406,-57.520992,288.95038,0.015882496,0.18936823,0.036651913,2017-02-20 16:03:28
칼만1,5.407,-0.78864217,-0.62229276,-0.11145865,1.0107560416439316,0,-5.3385406,-57.520992,288.95038,0.015882496,0.18936823,0.036651913,2017-02-20 16:03:28
칼만1,5.528,-0.92123044,-0.73999107,-0.23185396,1.2041630108448695,0,-5.4365273,-59.899982,287.76996,-0.03176499,0.3408628,0.002443461,2017-02-20 16:03:28
칼만1,5.65,-1.0370058,-0.853408,-0.33926493,1.3852028237970908,0,-5.7424355,-62.342804,287.528,-0.04520403,0.17592919,0.010995574,2017-02-20 16:03:28
칼만1,5.767,-1.1501422,-0.95213825,-0.46800518,1.564743797044081,0,-5.7424355,-62.342804,287.528,-0.04520403,0.17592919,0.010995574,2017-02-20 16:03:29
칼만1,5.887,-1.275974,-1.0445913,-0.5660122,1.7434593638489402,0,-5.584049,-64.78287,288.0607,-0.021991149,0.3555236,0.039095376,2017-02-20 16:03:29
칼만1,6.007,-1.3443879,-1.1256287,-0.61087155,1.856766771280932,0,-6.511351,-64.64287,289.5971,-0.06352998,-0.86620694,-0.04642576,2017-02-20 16:03:29
칼만1,6.127,-1.3259914,-1.1217365,-0.50804836,1.8096019281833378,0,-6.511351,-64.64287,289.5971,-0.06352998,-0.86620694,-0.04642576,2017-02-20 16:03:29
칼만1,6.247,-1.1780602,-0.99311566,-0.301927,1.5701160492726625,0,-5.1441317,-57.18059,284.86002,-0.064751714,-0.9138544,-0.09407325,2017-02-20 16:03:29
칼만1,6.367,-0.898622,-0.75506306,-0.0022496819,1.1737319700246502,0,-4.1493773,-46.823048,283.64,-0.0720821,-0.8906415,-0.042760566,2017-02-20 16:03:29
